Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,TG
New England Patriots,8,3,0,0.727,307,249,58,5.3,-0.9,4.4,3.3,1,11
Miami Dolphins,5,6,0,0.455,223,283,-60,-5.5,-1.7,-7.2,-5.1,-2.1,11
Buffalo Bills,4,7,0,0.364,161,272,-111,-10.1,1.5,-8.6,-8.3,-0.3,11
New York Jets,3,8,0,0.273,221,281,-60,-5.5,-1.8,-7.3,-4,-3.3,11
Pittsburgh Steelers,7,3,1,0.682,316,249,67,6.1,1.5,7.6,5.2,2.5,11
Baltimore Ravens,6,5,0,0.545,271,198,73,6.6,0,6.6,0.2,6.4,11
Cincinnati Bengals,5,6,0,0.455,276,347,-71,-6.5,3,-3.5,0.8,-4.2,11
Cleveland Browns,4,6,1,0.409,253,283,-30,-2.7,2.2,-0.6,-2,1.4,11
Houston Texans,8,3,0,0.727,273,222,51,4.6,-1.6,3,1.8,1.2,11
Indianapolis Colts,6,5,0,0.545,325,273,52,4.7,-3.9,0.9,5.1,-4.3,11
Tennessee Titans,5,6,0,0.455,195,223,-28,-2.5,0.9,-1.7,-5,3.3,11
Jacksonville Jaguars,3,8,0,0.273,197,243,-46,-4.2,0.1,-4.1,-6.4,2.3,11
Kansas City Chiefs,9,2,0,0.818,404,294,110,10,0.9,10.9,13.5,-2.6,11
Los Angeles Chargers,8,3,0,0.727,307,219,88,8,-2.3,5.7,3.1,2.6,11
Denver Broncos,5,6,0,0.455,252,252,0,0,2.5,2.5,-1.3,3.9,11
Oakland Raiders,2,9,0,0.182,187,327,-140,-12.7,1.2,-11.5,-6.2,-5.3,11
