Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,TG
Washington Redskins,6,5,0,0.545,220,229,-9,-0.8,-0.2,-1,-5.3,4.2,11
Dallas Cowboys,6,5,0,0.545,234,213,21,1.9,-0.9,1,-1.7,2.7,11
Philadelphia Eagles,5,6,0,0.455,230,253,-23,-2.1,-0.4,-2.5,-4.1,1.6,11
New York Giants,3,8,0,0.273,237,288,-51,-4.6,0,-4.6,-2.3,-2.4,11
Chicago Bears,8,3,0,0.727,317,211,106,9.6,-3.6,6.1,3.5,2.6,11
Minnesota Vikings,6,4,1,0.591,265,246,19,1.7,-1.1,0.6,-0.8,1.3,11
Green Bay Packers,4,6,1,0.409,264,267,-3,-0.3,0.2,-0.1,0.5,-0.7,11
Detroit Lions,4,7,0,0.364,238,286,-48,-4.4,-0.1,-4.4,-2.3,-2.1,11
New Orleans Saints,10,1,0,0.909,409,256,153,13.9,-0.1,13.8,12.7,1.1,11
Carolina Panthers,6,5,0,0.545,287,282,5,0.5,-0.2,0.2,2.2,-2,11
Tampa Bay Buccaneers,4,7,0,0.364,294,338,-44,-4,1,-3,2.7,-5.7,11
Atlanta Falcons,4,7,0,0.364,280,307,-27,-2.5,1.7,-0.7,1.2,-2,11
Los Angeles Rams,10,1,0,0.909,389,282,107,9.7,1,10.7,11.4,-0.7,11
Seattle Seahawks,6,5,0,0.545,276,243,33,3,1.5,4.5,1.2,3.4,11
San Francisco 49ers,2,9,0,0.182,239,293,-54,-4.9,-1.5,-6.4,-4,-2.4,11
Arizona Cardinals,2,9,0,0.182,155,293,-138,-12.5,1.2,-11.3,-9.7,-1.6,11
